sentence                                     ,tense
I am eating breakfast                         ,present
She will go to the park                       ,future
They played soccer yesterday                   ,past
I will be going to the concert                ,future
She is eating lunch now                       ,present
He watched a movie last night                  ,past
We are going to the beach this weekend         ,future
The sun rises in the east                      ,present
I used to love chocolate                        ,past
She will travel to Europe next year            ,future
He reads books every day                      ,present
They had a picnic last summer                   ,past
I am taking a break now                      ,present
She will call you later                        ,future
He wrote a letter last week                     ,past
We will visit the museum on Sunday             ,future
The train leaves at 9 AM                      ,present
I will eat dinner in an hour                   ,future
She danced all night at the party               ,past
I study French every evening                  ,present
They will arrive in two hours                  ,future
He cooked a delicious meal yesterday            ,past
She has been reading a book for hours   ,present perfect continuous
I will have finished my work by this time next week  ,future perfect
They had already left when I arrived           ,past perfect
We are going to have lunch in a few minutes       ,future
He will be playing basketball at 3 PM          ,future continuous
I had never been to that city before            ,past perfect
The conference starts in an hour                  ,future
I am going to the gym later                     ,future
She will have been working for 5 years in December ,future perfect continuous
The kids are playing in the yard            ,present continuous
They were talking on the phone when I called   ,past continuous
I will go to the store after work                 ,future
She has studied French for years               ,present perfect
He will have written the report by the end of the day  ,future perfect
We were watching a movie when the power went out  ,past continuous
I am currently reading a novel                 ,present continuous
She will be traveling to Paris next summer      ,future continuous
I had forgotten my keys at home               ,past perfect
They will have finished their project by tomorrow ,future perfect
The sun is setting in the west                ,present continuous
I will be taking a vacation in September          ,future continuous
She had been practicing piano for hours before the recital ,past perfect continuous
I am going to the concert on Friday              ,future
They will have been living in that house for a decade next year ,future perfect continuous
The team has won the championship            ,present perfect
He will have cooked dinner by the time we get home ,future perfect
She is writing a novel                            ,present continuous
I will be visiting my family for the holidays     ,future continuous
I had finished my homework before dinner         ,past perfect
They will be attending a conference next month    ,future continuous
She has been running for an hour         ,present perfect continuous
I am meeting my friends for lunch           ,present continuous
I will have completed the project by the end of the week ,future perfect
They were singing when I entered the room        ,past continuous
She is going to the gym later                      ,future
I will have been working at this company for 10 years in June ,future perfect continuous
The birds are singing in the garden              ,present continuous
He will be giving a presentation tomorrow     ,future continuous
I had visited that museum before               ,past perfect
She will have painted the room by the weekend   ,future perfect
They were playing football when it started raining ,past continuous
I am working on a project                      ,present continuous
I will be moving to a new apartment next month   ,future continuous
She has been learning Spanish for a year   ,present perfect continuous
I am reading a fascinating book                ,present continuous
I will have saved enough money by the end of the year,future perfect
He had finished the race before we got there          ,past perfect
I am planning a trip to the mountains                   ,present continuous
She will visit her grandparents next weekend            ,future
They have been working on this project for months     ,present perfect continuous
I will have completed my degree by next year            ,future perfect
The kids are playing in the park                      ,present continuous
We were driving to the beach when it started raining    ,past continuous
She will be taking a vacation in July                 ,future continuous
I had just started cooking when the guests arrived      ,past perfect
The company has opened a new branch                     ,present perfect
He will have graduated from college by then             ,future perfect
I am writing a research paper                         ,present continuous
They will be moving to a new city next month          ,future continuous
She has been playing the piano for an hour      ,present perfect continuous
I will go shopping after work                         ,future
I am watching a documentary                           ,present continuous
I will have saved enough money for a car by next year   ,future perfect
He had been traveling for weeks                       ,past perfect continuous
She is participating in the marathon                  ,present continuous
We will have our family reunion next week             ,future
The sun will rise in a few hours                        ,future
I am currently studying for exams                     ,present continuous
They will have completed the construction by the end of the month   ,future perfect
She will be presenting her research at the conference tomorrow  ,future continuous
I had lived in that city before                         ,past perfect
I will have traveled to five countries by the end of the year   ,future perfect
The baby is sleeping peacefully                       ,present continuous
I am going to the doctor this afternoon                 ,future
She will have painted her house by the end of the summer  ,future perfect
They were hiking in the mountains when they found the treasure  ,past continuous
I am learning to play the guitar                      ,present continuous
I will be visiting my grandparents next weekend       ,future continuous
She has been practicing yoga for years        ,present perfect continuous
I am currently working on a new project               ,present continuous
I will have finished reading the novel by tomorrow      ,future perfect
He will be presenting his art exhibition next month     ,future continuous
I had attended the conference before                    ,past perfect
They will have adopted a puppy by the end of the month  ,future perfect
The flowers are blooming in the garden                ,present continuous
